date,Volume,RAT
2012-12-07,0.0,LTE
2012-12-08,0.0,LTE
2012-12-09,1.0,LTE
2012-12-10,0.0,LTE
2012-12-11,4.0,LTE
2012-12-12,0.0,LTE
2012-12-13,1.0,LTE
2012-12-14,1.0,LTE
2012-12-15,0.0,LTE
2012-12-16,0.0,LTE
2012-12-17,1.0,LTE
2012-12-18,2.0,LTE
2012-12-19,0.0,LTE
2012-12-20,1.0,LTE
2012-12-21,1.0,LTE
2012-12-22,0.0,LTE
2012-12-23,1.0,LTE
2012-12-24,0.0,LTE
2012-12-25,0.0,LTE
2012-12-26,2.0,LTE
2012-12-27,0.0,LTE
2012-12-28,1.0,LTE
2012-12-29,2.0,LTE
2012-12-30,0.0,LTE
2012-12-31,1.0,LTE
2013-01-01,2.0,LTE
2013-01-02,3.0,LTE
2013-01-03,1.0,LTE
2013-01-04,1.0,LTE
2013-01-05,0.0,LTE
2013-01-06,0.0,LTE
2013-01-07,2.0,LTE
2013-01-08,0.0,LTE
2013-01-09,0.0,LTE
2013-01-10,0.0,LTE
2013-01-11,1.0,LTE
2013-01-12,0.0,LTE
2013-01-13,0.0,LTE
2013-01-14,2.0,LTE
2013-01-15,1.0,LTE
2013-01-16,0.0,LTE
2013-01-17,1.0,LTE
2013-01-18,2.0,LTE
2013-01-19,1.0,LTE
2013-01-20,0.0,LTE
2013-01-21,1.0,LTE
2013-01-22,2.0,LTE
2013-01-23,0.0,LTE
2013-01-24,0.0,LTE
2013-01-25,1.0,LTE
2013-01-26,0.0,LTE
2013-01-27,0.0,LTE
2013-01-28,1.0,LTE
2013-01-29,1.0,LTE
2013-01-30,0.0,LTE
2013-01-31,0.0,LTE
2013-02-01,0.0,LTE
2013-02-02,0.0,LTE
2013-02-03,0.0,LTE
2013-02-04,3.0,LTE
2013-02-05,0.0,LTE
2013-02-06,1.0,LTE
2013-02-07,0.0,LTE
2013-02-08,0.0,LTE
2013-02-09,1.0,LTE
2013-02-10,0.0,LTE
2013-02-11,2.0,LTE
2013-02-12,0.0,LTE
2013-02-13,0.0,LTE
2013-02-14,0.0,LTE
2013-02-15,3.0,LTE
2013-02-16,0.0,LTE
2013-02-17,0.0,LTE
2013-02-18,3.0,LTE
2013-02-19,0.0,LTE
2013-02-20,1.0,LTE
2013-02-21,0.0,LTE
2013-02-22,0.0,LTE
2013-02-23,0.0,LTE
2013-02-24,0.0,LTE
2013-02-25,0.0,LTE
2013-02-26,5.0,LTE
2013-02-27,0.0,LTE
2013-02-28,0.0,LTE
2013-03-01,1.0,LTE
2013-03-02,2.0,LTE
2013-03-03,2.0,LTE
2013-03-04,0.0,LTE
2013-03-05,0.0,LTE
2013-03-06,2.0,LTE
2013-03-07,1.0,LTE
2013-03-08,1.0,LTE
2013-03-09,0.0,LTE
2013-03-10,0.0,LTE
2013-03-11,5.0,LTE
2013-03-12,2.0,LTE
2013-03-13,0.0,LTE
2013-03-14,2.0,LTE
2013-03-15,1.0,LTE
2013-03-16,0.0,LTE
2013-03-17,1.0,LTE
2013-03-18,4.0,LTE
2013-03-19,2.0,LTE
2013-03-20,2.0,LTE
2013-03-21,1.0,LTE
2013-03-22,2.0,LTE
2013-03-23,1.0,LTE
2013-03-24,0.0,LTE
2013-03-25,4.0,LTE
2013-03-26,1.0,LTE
2013-03-27,0.0,LTE
2013-03-28,0.0,LTE
2013-03-29,1.0,LTE
2013-03-30,0.0,LTE
2013-03-31,1.0,LTE
2013-04-01,3.0,LTE
2013-04-02,0.0,LTE
2013-04-03,0.0,LTE
2013-04-04,1.0,LTE
2013-04-05,0.0,LTE
2013-04-06,0.0,LTE
2013-04-07,0.0,LTE
2013-04-08,3.0,LTE
2013-04-09,1.0,LTE
2013-04-10,1.0,LTE
2013-04-11,0.0,LTE
2013-04-12,0.0,LTE
2013-04-13,1.0,LTE
2013-04-14,0.0,LTE
2013-04-15,3.0,LTE
2013-04-16,3.0,LTE
2013-04-17,0.0,LTE
2013-04-18,0.0,LTE
2013-04-19,0.0,LTE
2013-04-20,1.0,LTE
2013-04-21,3.0,LTE
2013-04-22,1.0,LTE
2013-04-23,2.0,LTE
2013-04-24,1.0,LTE
2013-04-25,1.0,LTE
2013-04-26,0.0,LTE
2013-04-27,1.0,LTE
2013-04-28,2.0,LTE
2013-04-29,2.0,LTE
2013-04-30,2.0,LTE
2013-05-01,0.0,LTE
2013-05-02,3.0,LTE
2013-05-03,2.0,LTE
2013-05-04,1.0,LTE
2013-05-05,2.0,LTE
2013-05-06,0.0,LTE
2013-05-07,3.0,LTE
2013-05-08,1.0,LTE
2013-05-09,2.0,LTE
2013-05-10,1.0,LTE
2013-05-11,2.0,LTE
